workerid,proliferate.condition,accuracy,accuracy_bool,age,bonus,condition,correct_img,correct_key,correct_response,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,hidden_img,img_selected,internal_node_id,overall_accuracy,question_order,race,response,rt,stimulus,success,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
968,lc_lc,False,0,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-6.0,,,,j,3712,blicket_images/dc.jpg,,92691,,blicket,10,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-7.0,,,, ,875,blicket_images/dc_off.jpg,,93567,,feedback,11,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-8.0,,,,f,1507,blicket_images/ls.jpg,,95074,,blicket,12,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-9.0,,,, ,995,blicket_images/ls_off.jpg,,96070,,feedback,13,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-10.0,,,,f,2347,blicket_images/ds.jpg,,98418,,blicket,14,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-11.0,,,, ,662,blicket_images/ds_off.jpg,,99080,,feedback,15,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-12.0,,,,f,1998,blicket_images/dc.jpg,,101079,,blicket,16,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-13.0,,,, ,581,blicket_images/dc_off.jpg,,101661,,feedback,17,image-keyboard-response,,
968,lc_lc,False,0,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-14.0,,,,j,855,blicket_images/ls.jpg,,102517,,blicket,18,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-15.0,,,, ,856,blicket_images/ls_off.jpg,,103374,,feedback,19,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-16.0,,,,j,925,blicket_images/lc.jpg,,104299,,blicket,20,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-17.0,,,, ,632,blicket_images/lc_on.jpg,,104931,,feedback,21,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-18.0,,,,f,853,blicket_images/dc.jpg,,105785,,blicket,22,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-19.0,,,, ,615,blicket_images/dc_off.jpg,,106401,,feedback,23,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-20.0,,,,f,964,blicket_images/ds.jpg,,107366,,blicket,24,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-21.0,,,, ,575,blicket_images/ds_off.jpg,,107941,,feedback,25,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-22.0,,,,j,1130,blicket_images/lc.jpg,,109072,,blicket,26,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-23.0,,,, ,2330,blicket_images/lc_on.jpg,,111403,,feedback,27,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-24.0,,,,f,929,blicket_images/dc.jpg,,112337,,blicket,28,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-25.0,,,, ,658,blicket_images/dc_off.jpg,,112995,,feedback,29,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-26.0,,,,f,1076,blicket_images/ls.jpg,,114071,,blicket,30,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-27.0,,,, ,525,blicket_images/ls_off.jpg,,114596,,feedback,31,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-28.0,,,,j,1320,blicket_images/lc.jpg,,115916,,blicket,32,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-29.0,,,, ,462,blicket_images/lc_on.jpg,,116379,,feedback,33,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-30.0,,,,f,1622,blicket_images/ds.jpg,,118002,,blicket,34,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-31.0,,,, ,306,blicket_images/ds_off.jpg,,118308,,feedback,35,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-32.0,,,,f,1365,blicket_images/ls.jpg,,119677,,blicket,36,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-33.0,,,, ,537,blicket_images/ls_off.jpg,,120214,,feedback,37,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-34.0,,,,f,815,blicket_images/ds.jpg,,121030,,blicket,38,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-35.0,,,, ,556,blicket_images/ds_off.jpg,,121587,,feedback,39,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-36.0,,,,j,946,blicket_images/lc.jpg,,122534,,blicket,40,image-keyboard-response,,
968,lc_lc,True,1,,,lc_lc,blicket_images/lc.jpg,,lc,,,,,,,,blicket_images/lc.jpg,0.0-37.0,,,,lc,8331,"Which of these options shows the image from the last trial, that you just saw?",,130867,,pop_quiz,41,html-button-response,,
968,lc_lc,True,1,,,lc_lc,,,['lc'],,,,,,,,,0.0-38.0,,[0],,['lc'],14685,,,145554,,rule_question,42,survey-multi-select,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-39.0,,,,0,9197,"<p>Thank you for participating!</p>You answered 14 out of 16 trials correctly, and will recieve a $0.35 bonus.<p>Now you will complete a short survey before finishing the experiment.</p>",,154753,,,43,html-button-response,,
968,lc_lc,,,31,0.35000000000000003,lc_lc,,,,Non-Hispanic,,,,I used the outcome of the previous guesses to determine how I should respond on the next trial.,Male,,,0.0-40.0,0.875,,White,"{'age': '31', 'race': 'White', 'gender': 'Male', 'feedback': 'I used the outcome of the previous guesses to determine how I should respond on the next trial.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",48783,,,203537,,exit_survey,44,survey-html-form,,
892,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-0.0,,,,,,,True,300,False,,0,preload,,
892,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-1.0,,,,,,,True,567,False,,1,preload,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-2.0,,,,,,,True,4546,,,2,fullscreen,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-3.0,,,,0,13502,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,18049,,,3,html-button-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-4.0-0.0,,,,,34376,,,52426,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 6207}, {'page_index': 1, 'viewing_time': 4968}, {'page_index': 2, 'viewing_time': 5896}, {'page_index': 3, 'viewing_time': 13024}, {'page_index': 4, 'viewing_time': 4280}]",
892,lc_lc,True,,,,lc_lc,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,14428,blicket_images/red_pyramid.jpg,,66860,,comprehension_quiz,5,image-keyboard-response,,
892,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,2631,blicket_images/red_pyramid_on.jpg,,69492,,comprehension_quiz,6,image-keyboard-response,,
892,lc_lc,True,,,,lc_lc,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,5991,blicket_images/purple_prism.jpg,,75484,,comprehension_quiz,7,image-keyboard-response,,
892,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,7096,blicket_images/purple_prism_off.jpg,,82580,,comprehension_quiz,8,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-5.0,,,,,77637,,,160221,,,9,instructions,"[{'page_index': 0, 'viewing_time': 10732}, {'page_index': 1, 'viewing_time': 3441}, {'page_index': 2, 'viewing_time': 2616}, {'page_index': 3, 'viewing_time': 3088}, {'page_index': 4, 'viewing_time': 2520}, {'page_index': 5, 'viewing_time': 14840}, {'page_index': 6, 'viewing_time': 14952}, {'page_index': 7, 'viewing_time': 24216}, {'page_index': 8, 'viewing_time': 1232}]",
892,lc_lc,False,0,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-6.0,,,,j,8601,blicket_images/ls.jpg,,168823,,blicket,10,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-7.0,,,, ,13103,blicket_images/ls_off.jpg,,181927,,feedback,11,image-keyboard-response,,
892,lc_lc,False,0,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-8.0,,,,f,9799,blicket_images/lc.jpg,,191727,,blicket,12,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-9.0,,,, ,8704,blicket_images/lc_on.jpg,,200432,,feedback,13,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-10.0,,,,f,21175,blicket_images/dc.jpg,,221608,,blicket,14,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-11.0,,,, ,5599,blicket_images/dc_off.jpg,,227208,,feedback,15,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-12.0,,,,f,8799,blicket_images/ds.jpg,,236009,,blicket,16,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-13.0,,,, ,13975,blicket_images/ds_off.jpg,,249985,,feedback,17,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-14.0,,,,f,5295,blicket_images/ls.jpg,,255281,,blicket,18,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-15.0,,,, ,2175,blicket_images/ls_off.jpg,,257457,,feedback,19,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-16.0,,,,f,3216,blicket_images/ds.jpg,,260674,,blicket,20,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-17.0,,,, ,4967,blicket_images/ds_off.jpg,,265642,,feedback,21,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-18.0,,,,j,2639,blicket_images/lc.jpg,,268282,,blicket,22,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-19.0,,,, ,1560,blicket_images/lc_on.jpg,,269842,,feedback,23,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-20.0,,,,f,1015,blicket_images/ds.jpg,,270857,,blicket,24,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-21.0,,,, ,1327,blicket_images/ds_off.jpg,,272186,,feedback,25,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-22.0,,,,f,1007,blicket_images/dc.jpg,,273194,,blicket,26,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-23.0,,,, ,1943,blicket_images/dc_off.jpg,,275138,,feedback,27,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-24.0,,,,f,2310,blicket_images/ls.jpg,,277450,,blicket,28,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-25.0,,,, ,1263,blicket_images/ls_off.jpg,,278714,,feedback,29,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-26.0,,,,f,3864,blicket_images/ds.jpg,,282578,,blicket,30,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ds.jpg,,0.0-27.0,,,, ,1023,blicket_images/ds_off.jpg,,283602,,feedback,31,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-28.0,,,,f,982,blicket_images/dc.jpg,,284585,,blicket,32,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-29.0,,,, ,249,blicket_images/dc_off.jpg,,284834,,feedback,33,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/ls.jpg,,0.0-30.0,,,,f,1184,blicket_images/ls.jpg,,286018,,blicket,34,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/ls.jpg,,0.0-31.0,,,, ,207,blicket_images/ls_off.jpg,,286226,,feedback,35,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-32.0,,,,j,1360,blicket_images/lc.jpg,,287586,,blicket,36,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/lc.jpg,,0.0-33.0,,,, ,287,blicket_images/lc_on.jpg,,287874,,feedback,37,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-34.0,,,,f,1112,blicket_images/dc.jpg,,288986,,blicket,38,image-keyboard-response,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,blicket_images/dc.jpg,,0.0-35.0,,,, ,263,blicket_images/dc_off.jpg,,289250,,feedback,39,image-keyboard-response,,
892,lc_lc,True,1,,,lc_lc,,j,on,,,,,,,blicket_images/lc.jpg,,0.0-36.0,,,,j,1648,blicket_images/lc.jpg,,290898,,blicket,40,image-keyboard-response,,
892,lc_lc,False,0,,,lc_lc,blicket_images/lc.jpg,,lc,,,,,,,,blicket_images/ls.jpg,0.0-37.0,,,,ls,6342,"Which of these options shows the image from the last trial, that you just saw?",,297241,,pop_quiz,41,html-button-response,,
892,lc_lc,True,1,,,lc_lc,,,['lc'],,,,,,,,,0.0-38.0,,[0],,['lc'],32805,,,330051,,rule_question,42,survey-multi-select,,
892,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-39.0,,,,0,4998,"<p>Thank you for participating!</p>You answered 14 out of 16 trials correctly, and will recieve a $0.35 bonus.<p>Now you will complete a short survey before finishing the experiment.</p>",,335050,,,43,html-button-response,,
892,lc_lc,,,75,0.35000000000000003,lc_lc,,,,Non-Hispanic,,,,"I sifted through what I saw in the beginning, by both shape and color, and if what I picked the first time was wrong, I picked opposite the next time.  I ended up with realizing three would not work (off) and only one would, and so ""looked"" for that one color and shape, specifically.  I hope this makes sense to you!",Female,,,0.0-40.0,0.875,,White,"{'age': '75', 'race': 'White', 'gender': 'Female', 'feedback': 'I sifted through what I saw in the beginning, by both shape and color, and if what I picked the first time was wrong, I picked opposite the next time.  I ended up with realizing three would not work (off) and only one would, and so ""looked"" for that one color and shape, specifically.  I hope this makes sense to you!', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",296807,,,631868,,exit_survey,44,survey-html-form,,
884,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-0.0,,,,,,,True,256,False,,0,preload,,
884,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-1.0,,,,,,,True,379,False,,1,preload,,
884,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-2.0,,,,,,,True,8965,,,2,fullscreen,,
884,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-3.0,,,,0,9166,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,18132,,,3,html-button-response,,
884,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-4.0-0.0,,,,,23768,,,41902,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 4815}, {'page_index': 1, 'viewing_time': 3904}, {'page_index': 2, 'viewing_time': 2656}, {'page_index': 3, 'viewing_time': 8688}, {'page_index': 4, 'viewing_time': 3704}]",
884,lc_lc,False,,,,lc_lc,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,f,7154,blicket_images/red_pyramid.jpg,,49064,,comprehension_quiz,5,image-keyboard-response,,
884,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,1828,blicket_images/red_pyramid_on.jpg,,50894,,comprehension_quiz,6,image-keyboard-response,,
884,lc_lc,True,,,,lc_lc,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,8286,blicket_images/purple_prism.jpg,,59181,,comprehension_quiz,7,image-keyboard-response,,
884,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,1999,blicket_images/purple_prism_off.jpg,,61181,,comprehension_quiz,8,image-keyboard-response,,
884,lc_lc,False,,,,lc_lc,,,,,,,,,,,,0.0-4.0-2.0-0.0,,,,0,4207,<p> Oops! You have answered one or more questions incorrectly.</p><p> Please Review the instructions again before continuing with the experiment </p>,,65389,,fail_message,9,html-button-response,,
884,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-4.1-0.1,,,,,13855,,,79245,,instructions_pt1,10,instructions,"[{'page_index': 0, 'viewing_time': 1975}, {'page_index': 1, 'viewing_time': 1288}, {'page_index': 2, 'viewing_time': 1432}, {'page_index': 3, 'viewing_time': 5448}, {'page_index': 4, 'viewing_time': 3712}]",
884,lc_lc,True,,,,lc_lc,,,j,,,,,,,,,0.0-4.1-1.1-0.1,,,,j,4440,blicket_images/red_pyramid.jpg,,83686,,comprehension_quiz,11,image-keyboard-response,,
884,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.1-1.1-1.1,,,, ,1526,blicket_images/red_pyramid_on.jpg,,85213,,comprehension_quiz,12,image-keyboard-response,,
