prolific_id,ramp_orientation,ramp_or_cube,orientation,predicted_further,predicted_direction,response
66449de0adc1c8fe3761c951,forward,cube,consistent,red,right,i think they wont past the line but be close
66449de0adc1c8fe3761c951,forward,cube,reversed,red,right,i think theyll be close to the line
66449de0adc1c8fe3761c951,forward,cube,reversed,blue,right,i think theyll be close to the line or over it
6561435b409147a77be889dd,forward,ramp,consistent,red,right,I don't know
6561435b409147a77be889dd,forward,ramp,consistent,yellow,right,If someone pushed them done they would end up at different positions.
6561435b409147a77be889dd,forward,ramp,reversed,yellow,left,I guess if someone pushed them off
6561435b409147a77be889dd,forward,ramp,reversed,black,left,One of them was pushed faster than the other
668adbfcb3549e7f656159c6,forward,ramp,consistent,yellow,right,The yellow ramp allows the cubes to go further than the blue from previous results
668adbfcb3549e7f656159c6,forward,ramp,consistent,red,right,The red cube goes further than the black cube I'm not sure
668adbfcb3549e7f656159c6,forward,ramp,reversed,yellow,left,yellow ramp goes further than blue ramp
668adbfcb3549e7f656159c6,forward,ramp,reversed,black,left,not sure
65ca84cb095d96c990156ce8,forward,ramp,consistent,yellow,right,best guess
65ca84cb095d96c990156ce8,forward,ramp,consistent,black,right,"best guess
"
65ca84cb095d96c990156ce8,forward,ramp,reversed,red,left,best guess
65ca84cb095d96c990156ce8,forward,ramp,reversed,yellow,left,best guess
65f0f44f1cae5992a2cc2c8b,forward,ramp,consistent,red,right,I honestly don't remember if red or black goes further. just that the blue ramp always made the block pass the finish line.
65f0f44f1cae5992a2cc2c8b,forward,ramp,consistent,blue,right,Blue makes it go further than yellow.
65f0f44f1cae5992a2cc2c8b,forward,ramp,reversed,blue,left,Blue makes it go further than yellow
65f0f44f1cae5992a2cc2c8b,forward,ramp,reversed,red,left,Just a guess meant to be consistent with my other guesses that red goes further than black.
561487ad7ffc8a0012812266,backward,ramp,consistent,blue,right,"It seems like things ""launched"" off the blue ramp went further"
561487ad7ffc8a0012812266,backward,ramp,consistent,red,right,The red ball seemed to go farther in the trials
561487ad7ffc8a0012812266,backward,ramp,reversed,red,left,I made the assumption that the cubes were traveling up the ramps 
561487ad7ffc8a0012812266,backward,ramp,reversed,blue,left,I would think the blue ramp propels farther based on this same assumption
6671e64b6bf199f742cc0df6,forward,ramp,consistent,blue,right,"the cubes would definitely move with a high speed downwards, likely crossing the line "
6671e64b6bf199f742cc0df6,forward,ramp,consistent,black,right,the cubes will move with a high speed from the start and a low speed when it hit the ground
6671e64b6bf199f742cc0df6,forward,ramp,reversed,yellow,left,the cubes will move with a high speed from the start and a low speed when it hit the ground
6671e64b6bf199f742cc0df6,forward,ramp,reversed,black,left,the cubes will move with a high speed from the start and a low speed when it hit the ground
6664e8eb5e7fda71dc535c83,forward,cube,consistent,blue,right,I thought I remember the cubes going further off of the blue and thinking maybe the blue ramp had less friction
6664e8eb5e7fda71dc535c83,forward,cube,consistent,black,right,The black cubes consistently traveled further than the red and I thought thusly that it had less friction
6664e8eb5e7fda71dc535c83,forward,cube,reversed,blue,left,"Again, I thought the blue ramp had less friction based on what happened during the trials with the blue and yellow ramps."
6664e8eb5e7fda71dc535c83,forward,cube,reversed,black,left,"Again, I thought the black cubes had less fraction as they consistently traveled further in the trials."
668d3d0bb11ce5c374111e9a,backward,cube,consistent,blue,right,"From the past images I predicted, the one that came with the bonusses. This was where I learnt this from"
668d3d0bb11ce5c374111e9a,backward,cube,consistent,black,left,"The red cube was in front of the black cube, sliding back, the black cube will go back more than the red cube"
668d3d0bb11ce5c374111e9a,backward,cube,reversed,red,left,Due to how the cube was placed on the slide
668d3d0bb11ce5c374111e9a,backward,cube,reversed,yellow,left,Due to how the cubes was placed on the side
5fc4a8a649c0c8912b02979c,forward,cube,consistent,red,right,The red one went farther than the black cube
5fc4a8a649c0c8912b02979c,forward,cube,consistent,blue,right,The ramps with similar colors in previous questions made cubes go different distances
5fc4a8a649c0c8912b02979c,forward,cube,reversed,yellow,left,Same as the last one
5fc4a8a649c0c8912b02979c,forward,cube,reversed,red,left,The red cube has previously gone farther
5f9a0b386a200211eea8e2ed,backward,cube,consistent,red,right,Red always went further in the previous trials
5f9a0b386a200211eea8e2ed,backward,cube,consistent,blue,right,Yellow ramp seems to launch the cubes short
5f9a0b386a200211eea8e2ed,backward,cube,reversed,blue,left,Yellow launches shorter
5f9a0b386a200211eea8e2ed,backward,cube,reversed,red,left,Red always goes further
665c989703b2609ce0e958ad,forward,cube,consistent,black,right,because the black cube always ended up over the line. and the red cube behind the line. 
665c989703b2609ce0e958ad,forward,cube,consistent,yellow,right,Because one of those cube is still red and one is black in my mind. 
665c989703b2609ce0e958ad,forward,cube,reversed,blue,right,Because I still see one as black and one as red. so I put one as close to over the line as possible. 
665c989703b2609ce0e958ad,forward,cube,reversed,black,right,Same thing as before. Black needs to be over the line or as close to as possible.
5ce4c8341bf7c9000150592e,forward,ramp,consistent,black,left,"I judged these images more on the base of the triangle, so this was simply a guess for me. "
5ce4c8341bf7c9000150592e,forward,ramp,consistent,yellow,right,"I knew the yellow side would get further than the blue, so I went with the cube on the yellow side that had gone the furthest to the line. "
5ce4c8341bf7c9000150592e,forward,ramp,reversed,black,left,"This was a guess because I didn't figure out the pattern for the block colors, so I assumed black went further. "
5ce4c8341bf7c9000150592e,forward,ramp,reversed,yellow,left,I always think that the yellow side would make the cube go further than the blue side. 
603e86969a3fd3ec23e64a13,forward,ramp,consistent,blue,left,I made a wrong selection
603e86969a3fd3ec23e64a13,forward,ramp,consistent,red,right,It was mostly a guess
603e86969a3fd3ec23e64a13,forward,ramp,reversed,blue,right,Wrong selection
603e86969a3fd3ec23e64a13,forward,ramp,reversed,red,left,Based off of earlier scenarios
6679a2c59317696d909cd9e3,backward,cube,consistent,blue,right,"Based on the others, it'll propel forward not back. "
6679a2c59317696d909cd9e3,backward,cube,consistent,black,right,The black cube tends to go farther than the right cube. 
6679a2c59317696d909cd9e3,backward,cube,reversed,red,left,The platform changed direction which means the cubes change direction.
6679a2c59317696d909cd9e3,backward,cube,reversed,yellow,left,The platform changed direction so the cubes should change direction. 
6158f8d1ad08e224c817b97b,backward,cube,consistent,blue,right,"Initial Position: In the first image, the object (a block) is placed on a ramp inclined upwards.
Motion: Gravity causes the block to move down the ramp.
Final Position: In the second image, the block has moved down the ramp and is now on the flat surface."
6158f8d1ad08e224c817b97b,backward,cube,consistent,black,right,"Initial Position: In the first image, the object (a block) is placed on a ramp inclined upwards.
Motion: Gravity causes the block to move down the ramp.
Final Position: In the second image, the block has moved down the ramp and is now on the flat surface."
6158f8d1ad08e224c817b97b,backward,cube,reversed,blue,left,Both cubes will be on the same level
6158f8d1ad08e224c817b97b,backward,cube,reversed,red,left,The black cube will be ahead of the red cube
663c44979cea037cd82721cd,forward,cube,consistent,black,right,The black cube seems to go farther.
663c44979cea037cd82721cd,forward,cube,consistent,yellow,right,The yellow block is elevated higher.
663c44979cea037cd82721cd,forward,cube,reversed,yellow,left,The yellow block is elevated higher.
663c44979cea037cd82721cd,forward,cube,reversed,black,left,The black cube seems to go farther.
66573564f424374e6d1b36bc,backward,cube,consistent,black,left,The steep incline of the wedge.
66573564f424374e6d1b36bc,backward,cube,consistent,blue,left,I think the cube on the blue side would slide farther
66573564f424374e6d1b36bc,backward,cube,reversed,red,right,I think the red cube would have more momentum
66573564f424374e6d1b36bc,backward,cube,reversed,blue,right,I think the blue slope will have more speed
61549a2caa92d84f392000e9,forward,ramp,consistent,black,left,very nice
61549a2caa92d84f392000e9,forward,ramp,consistent,blue,right,nice
61549a2caa92d84f392000e9,forward,ramp,reversed,red,right,good
61549a2caa92d84f392000e9,forward,ramp,reversed,blue,right,nice
6683248de170f597107c313c,backward,cube,consistent,blue,right,"We are just guessing, right? There is no logic to this. "
6683248de170f597107c313c,backward,cube,consistent,red,left,I am just guessing. 
6683248de170f597107c313c,backward,cube,reversed,black,left,I am just guessing. How would anyone know?
6683248de170f597107c313c,backward,cube,reversed,blue,right,I am guessing
659c7519f4c0ace95d32f6bd,forward,ramp,consistent,red,right,Red usually ends up further than black on any of the colored triangles
659c7519f4c0ace95d32f6bd,forward,ramp,consistent,blue,right,Yellow's blocks usually ended up further away than blue's blocks
659c7519f4c0ace95d32f6bd,forward,ramp,reversed,blue,left,Blue's blocks usually ended up more ahead of yellow's blocks
659c7519f4c0ace95d32f6bd,forward,ramp,reversed,red,left,Red usually ended up further than black
629082739390703f993b12bd,backward,ramp,consistent,yellow,right,The blue side always launched the cube much less than the other.
629082739390703f993b12bd,backward,ramp,consistent,red,right,"As I believe, the black cube always went the least furthest."
629082739390703f993b12bd,backward,ramp,reversed,blue,left,Just a guess here.
629082739390703f993b12bd,backward,ramp,reversed,red,left,The black cube went the least furthest usually I think.
665f123b82317d230d7b6fb6,backward,ramp,consistent,black,right,i think black goes farther...maybe
665f123b82317d230d7b6fb6,backward,ramp,consistent,blue,right,yellow ramp makes cube go shorter 
665f123b82317d230d7b6fb6,backward,ramp,reversed,black,left,black goes farther
665f123b82317d230d7b6fb6,backward,ramp,reversed,blue,left,yellow ramp equals shorter distanvce
61084dfa57b8afc07829bb19,forward,ramp,consistent,yellow,right,The cubes travel farther on the yellow than the blue
61084dfa57b8afc07829bb19,forward,ramp,consistent,red,right,I guessed. I wasn't paying attention to red vs black differences
61084dfa57b8afc07829bb19,forward,ramp,reversed,black,left,I guessed
61084dfa57b8afc07829bb19,forward,ramp,reversed,yellow,left,"Yellow is yes, blue is no. Yellow goes farther"
6685fc99a5f104da3398a1ca,backward,cube,consistent,yellow,right,seems the yellow travels faster
6685fc99a5f104da3398a1ca,backward,cube,consistent,black,right,the red usually don't travel fast
6685fc99a5f104da3398a1ca,backward,cube,reversed,red,left,the black is does not travel faster
6685fc99a5f104da3398a1ca,backward,cube,reversed,yellow,left,the yellow travels faster
62853fe01fa0d21c4daacfcb,backward,ramp,consistent,yellow,right,"My general guess was that each color of ramp provided a certain amount of horizontal movement to the cube that varied from color to color, and each color of cube also provided a certain amount of movement to itself, and I was also reasonably certain that the amount of movement provided by the ramp was greater than the amount provided by the cube because it was always the case that a yellow ramp meant the cube ended up to the right of the line regardless of the color of the cube while a blue ramp always meant it was to the left regardless of the color of the cube. Anyway, since I'd never seen what the results actually were when a white cube was used, I just took a wild guess and guessed that maybe it was ""lighter"" (I mean weight, not color, because somehow ""lighter"" equals ""provides less horizontal movement"" in my mind) than the other colors and so maybe this would be just enough for the cube not to make the line even with a yellow ramp. But obviously, yes, I predicted the white cube with the yellow ramp would go farther than the white cube with the blue ramp because that's what happened with the other color cubes."
62853fe01fa0d21c4daacfcb,backward,ramp,consistent,red,left,"Well, my general prediction on how this works was the same as last time, but regarding this particular specific case, to be honest, I have no idea if red cubes or black cubes go farther right when launched off of yellow or blue ramps because I was just focused on whether or not they crossed the line at all and I didn't stop to note by how much they crossed the line (or if they didn't cross it, how close to the line they managed to get) and honestly I didn't even realize at the time that they were crossing the line by different amounts at all, and so honestly it's kind of just half me scrambling going ""oh man, what were the exact distances in those pictures I only glanced at?"" and half me just plain guessing that black cubes go farther right than red cubes when launched off of yellow or blue ramps, but that's the guess that I'm working with, and so anyway, since I'd never seen what white ramps actually do, I just took a random guess and guessed that maybe they're so much ""lighter"" than other ramps that cubes actually end up to the left when launched off of them (which makes literally no sense in terms of actually launching stuff off a ramp because how could you launch something so that it goes backwards? But that's not really the point because these aren't actually literally ramps anyway and nobody actually said cubes were being launched off of them, and I think what they were ACTUALLY called was, like, blocks or something, but I'm kind of just calling them ramps here because their shape does resemble ramps and imagining the cubes being launched off of them makes the whole set of occurances here feel more natural and logical in my mind), but naturally the black cube would still be farther right and the red cube would still be farther left because that's how I assume it happened before, but I guess the point is in my mind I was thinking of it something like ""red cube equals +10 horizontal position, black cube equals +20, blue ramp = +50, yellow ramp = +70, white cube = presumed -20, white ramp = presumed -70"" or whatever (It's not like I was thinking of it in terms of specific numbers or anything, but these are just some random numbers I made up to illustrate my point), with the point being that these numbers are absolute and just work in whatever direction they work regardless of anything else, e.g., a black cube always makes the cube end up farther to the right than a red cube even when the total direction of movement is to the left due to a white ramp because -70 + +20 is just greater than -70 + +10 even if both numbers ultimately are negative (and we're assuming in this case that higher numbers equals greater rightward movement in this case), but I suppose this doesn't HAVE to be the case, and an alternative way to think about this would be something like instead of thinking of the directions as positive and negative movement to just think of them as always being positive movement but just in different directions, and so maybe a yellow ramp could be +70 distance to the right and a white ramp could be +70 distance to the left, and maybe a red cube could add +10 to whatever distance it's thrown and a black cube could add +20, and so in this case a black cube would actually end up farther to the left when thrown left than a red cube and farther to the right when thrown right than a red cube, and this probably lines up closer to how real life physics works, because if I have something easy to throw and something hard to throw than the easier to throw object always ends up farther away from me regardless of whether I throw these objects east or west, but my point is just to say that that's just not how I was thinking of it (and to be fair, again, no one ever said that these cubes were necessarily being thrown per se) and I was thinking more in terms of each particular kind of cube and ramp having just a particular set value it adds to the cube's final position."
62853fe01fa0d21c4daacfcb,backward,ramp,reversed,yellow,left,"Umm... I don't know. I'll be honest, I spent so long writing my previous responses I kind of forgot what all the sets of images you asked me about are, and I legitimately don't remember this one at all, but it just feels like ""Huh? There were images where the ramps faced left? I don't remember that"", but I'm just going to take my best guess here, and probably since the ramps are facing left now I figured the direction they'd launch the blocks would also be reversed, and since a yellow ramp launched a block farther right when facing right, I probably assumed it would launch it farther left when facing left, too. I don't have the other images available for comparison, so I can't be completly sure, but based on looks, I would guess that this is the relatively ""close"" image with the cubes not that far from the ramps, and I would guess that there was probably another image where the cubes were farther away to the left, and if that's the case, then I would guess that my assumption was that since I assumed that white cubes went less far to the right when launched right, they might also go less far to the left when launched left, resulting in the final image we see here."
62853fe01fa0d21c4daacfcb,backward,ramp,reversed,red,right,"Hmm, did I guess this? My assumption was probably again that with the ramps facing left, everything would play out the same way as with them facing right except with the directions reversed, and so the cubes would still end up behind the ramps because I guessed randomly that maybe white ramps launch things backwards, but also with the black cube still closer to the ""forwards"" direction because that's what I guessed happened when the ramps were facing right, i.e., if the black cube goes farther right when the ramps are facing right, then maybe it goes farther left when the cubes are facing left too."
62be632336006d96574e22ef,backward,ramp,consistent,yellow,right,"The yellow ramp means closer to the finish line (technically over it, according to previous trials), whereas the blue ramp is the opposite."
62be632336006d96574e22ef,backward,ramp,consistent,black,right,Black cube always ended up further the red cube according to previous trials.
62be632336006d96574e22ef,backward,ramp,reversed,black,left,"Not sure, but I predicted with the ramp inverted, the results would be inverted."
62be632336006d96574e22ef,backward,ramp,reversed,blue,left,"Same as the previous. With the ramps inverted, the results would be inverted. Yellow ramp always went further than the blue ramp in previous trials."
6672e054134a9cac8d3fd303,forward,cube,consistent,black,right,The black cube seems to go further than the red.
6672e054134a9cac8d3fd303,forward,cube,consistent,yellow,right,I guessed for this one. But logically they would be on this side of the ramp.
6672e054134a9cac8d3fd303,forward,cube,reversed,black,left,The black cube seems to go further than the red.
6672e054134a9cac8d3fd303,forward,cube,reversed,blue,left,I guessed for this one too. But logically they would end up on the left side of the ramp.
5cfff88a6775b90001e484f2,forward,cube,consistent,yellow,right,I think the yellow ramp is steeper/ gives more force than the blue ramp
5cfff88a6775b90001e484f2,forward,cube,consistent,red,right,"I believe that the red cube travels further than the black cube, even in the same conditions"
5cfff88a6775b90001e484f2,forward,cube,reversed,yellow,left,I think the yellow ramp is steeper than the blue ramp
5cfff88a6775b90001e484f2,forward,cube,reversed,red,left,"I believe that the red cube travels further than the black cube, on average"
664218e510e790cd8414d32c,forward,cube,consistent,red,left,They're high up
664218e510e790cd8414d32c,forward,cube,consistent,blue,right,They will slide down
664218e510e790cd8414d32c,forward,cube,reversed,yellow,left,they will slide down 
664218e510e790cd8414d32c,forward,cube,reversed,black,left,They will slide down 
6670367508b5f9d3de8b288e,backward,ramp,consistent,black,right,I have no idea! Just felt like it.
6670367508b5f9d3de8b288e,backward,ramp,consistent,blue,right,Again... just felt like it. I am not good at observational learning. 
6670367508b5f9d3de8b288e,backward,ramp,reversed,red,right,No momentum
6670367508b5f9d3de8b288e,backward,ramp,reversed,blue,right,No momentum
5fc2f07939c5f20b2e86607f,forward,ramp,consistent,red,right,just a gut feeling
5fc2f07939c5f20b2e86607f,forward,ramp,consistent,yellow,right,the darker color might not throw as strongly
5fc2f07939c5f20b2e86607f,forward,ramp,reversed,black,left,not as much force
5fc2f07939c5f20b2e86607f,forward,ramp,reversed,blue,left,gut feeling
6687b00fea5aa786440b51d1,forward,ramp,consistent,yellow,right,i considered where the cube ended in the previous imagaes
6687b00fea5aa786440b51d1,forward,ramp,consistent,red,left,it was based on the previous positions
6687b00fea5aa786440b51d1,forward,ramp,reversed,blue,left,because of the position
6687b00fea5aa786440b51d1,forward,ramp,reversed,red,right,red has ended at that side many times
668ebd73a0deeb3fb92eb098,backward,cube,consistent,blue,right,"I'm not sure which ramp color caused cubes to go further because I wasn't attending to that during the trials. My guess was blue had cubes go further, but I was paying attention to cube color."
668ebd73a0deeb3fb92eb098,backward,cube,consistent,red,right,Red cubes made it past the line and black ones didn't. I predicted the red cube ends up further to the right than the black cube.
668ebd73a0deeb3fb92eb098,backward,cube,reversed,blue,right,I'm not sure if ramp direction matters since it doesn't appear the cubes are running down them. I made my prediction based on colors again assuming blue was correlated with having cubes go further right.
668ebd73a0deeb3fb92eb098,backward,cube,reversed,red,right,"Like the last one, I ignored ramp direction and predicted the red cube ending up further to the right since physics didn't seem to play in this. I'm treating it like a logic puzzle more than a physics question."
6693b774a020c6c2214baea3,forward,cube,consistent,yellow,right,"In my view the cubes are positioned at a 45 degree angle , that will give it descending speed."
6693b774a020c6c2214baea3,forward,cube,consistent,red,right,The cubes wouldn't have enough speed to cross the line 
6693b774a020c6c2214baea3,forward,cube,reversed,red,left,This is because the cubes are directed in opposition to the line 
6693b774a020c6c2214baea3,forward,cube,reversed,yellow,left,The cubes are positioned in opposite direction to the finish line
66524aa2a82e242800be156b,forward,cube,consistent,red,right,IN MY MIND I JUST IMAGINE THEM SLIDING DOWN AND LANDING LIKE THAT
66524aa2a82e242800be156b,forward,cube,consistent,yellow,right,I JUST IMAGINEDC THEM SLIDING DOWN AND LANDING LIKE THAT
66524aa2a82e242800be156b,forward,cube,reversed,black,left,"THE RAMP IS BACKWARDS SO I DONT THINK THAT THEY WILL GO CLOSE TO THE LINE, IN FACT THEYD GO THE OPPOSITE DIRECTION AND SLIDE DOWN THE RAMP"
66524aa2a82e242800be156b,forward,cube,reversed,blue,left,"SAME AS BEFORE, I BELIEVE THEY WOULD STILL SLIDE DOWN THE RAMP AND NOT GO CLOSE TO THE LINES"
654509bce930185adab23a1a,backward,cube,consistent,red,right,i think the red cube is lighter than the black cube
654509bce930185adab23a1a,backward,cube,consistent,yellow,right,i think the yellow ramp is faster than the blue ramp.
654509bce930185adab23a1a,backward,cube,reversed,red,right,red cube is lighter.
654509bce930185adab23a1a,backward,cube,reversed,yellow,right,yellow ramp is faster
56d39b96da2aaa000dab6178,backward,ramp,consistent,black,right,"My intuition was telling me that black cubes usually travel farther, even though I didn't see this specifically during the trials. "
56d39b96da2aaa000dab6178,backward,ramp,consistent,yellow,right,I felt that yellow ramps lead to cubes travelling farther based on the success rate of previous trials. 
56d39b96da2aaa000dab6178,backward,ramp,reversed,yellow,left,Yellow ramps allow for further travel. 
56d39b96da2aaa000dab6178,backward,ramp,reversed,black,left,I think black cubes travel farther. The direction of travel was based off of what occurred in earlier trials. 
5e29dc4721a5f20481c70274,forward,cube,consistent,red,right,The red block is lighter
5e29dc4721a5f20481c70274,forward,cube,consistent,blue,right,One cube is heavier
5e29dc4721a5f20481c70274,forward,cube,reversed,yellow,left,One is started lower then the other
5e29dc4721a5f20481c70274,forward,cube,reversed,red,left,Th red block is lighter
NA,forward,cube,consistent,yellow,right,because I think cube in bule ran way could be more far that yellow.
NA,forward,cube,consistent,black,right,I think black cube more far than re
NA,forward,cube,reversed,blue,left,cube in bule run way should be more far than other
NA,forward,cube,reversed,black,left,black cube should be more far than red cube
5c91ab9b47fad40011be8306,forward,cube,consistent,black,right,The black cubes always crossed the line. While the red cubes didn't.
5c91ab9b47fad40011be8306,forward,cube,consistent,blue,right,"The white cubes will not slide as far due to the increased friction and its lighter weight, potentially not reaching the finish line."
5c91ab9b47fad40011be8306,forward,cube,reversed,yellow,left,"will not slide as far due to the increased friction and its lighter weight, potentially not reaching the finish line."
5c91ab9b47fad40011be8306,forward,cube,reversed,black,left,Both cubes facing the wrong way.
5ced23c585712e00190bd98a,forward,ramp,consistent,black,right,I'm honestly not sure here.  I understood the previous trials but I just took a guess here.
5ced23c585712e00190bd98a,forward,ramp,consistent,blue,right,Just a guess.  I assumed the blue slant would go farther.
5ced23c585712e00190bd98a,forward,ramp,reversed,yellow,left,Honestly just guessed
5ced23c585712e00190bd98a,forward,ramp,reversed,black,left,Just guessed again.
5d87defd9497150016325f66,forward,ramp,consistent,red,right,It would fit for the direction that the ramp is facing.
5d87defd9497150016325f66,forward,ramp,consistent,blue,right,They may not fall at the same speed.
5d87defd9497150016325f66,forward,ramp,reversed,blue,left,"the ramp changed directions, so it makes sense the cubes ind up in that direction"
5d87defd9497150016325f66,forward,ramp,reversed,black,left,"sama as last time, the direction of the lamp is to the lft so the cubes are gonna end up to the left."
656e0dab178ffccdaa47202e,backward,cube,consistent,blue,left,I'm not sure what the white blocks do
656e0dab178ffccdaa47202e,backward,cube,consistent,black,right,based on what red and black blocks do
656e0dab178ffccdaa47202e,backward,cube,reversed,black,left,the ramp is the other way
656e0dab178ffccdaa47202e,backward,cube,reversed,yellow,left,just a guess
66384f2ca89f26220b5e5670,backward,cube,consistent,yellow,right,Because the cubes were white and I wasn't sure of the probability of them crossing the line.
66384f2ca89f26220b5e5670,backward,cube,consistent,black,right,Because the black cubes pass the line and the red ones don't. This option was the closest to meeting that rule.
66384f2ca89f26220b5e5670,backward,cube,reversed,black,left,"Because the position of the ramp changed, I thought the cubes would go the opposite direction."
66384f2ca89f26220b5e5670,backward,cube,reversed,blue,left,"Because the direction of the ramps changed, I thought the cubes would go in the opposite direction."
667b21433af7566ac3aab971,forward,cube,consistent,red,right,red always rolled further than the black. it also always went over the line
667b21433af7566ac3aab971,forward,cube,consistent,yellow,right,yellow slide always went further than blue
667b21433af7566ac3aab971,forward,cube,reversed,yellow,left,yellow slide always went further than blue
667b21433af7566ac3aab971,forward,cube,reversed,red,left,red cube always goes further than the black one
661d91cf9f3f83afa8e53a0d,backward,ramp,consistent,red,left,"I don't really know, just that they are different than the original images, and I felt that they would not go across finish line"
661d91cf9f3f83afa8e53a0d,backward,ramp,consistent,yellow,left,same as last answer
661d91cf9f3f83afa8e53a0d,backward,ramp,reversed,yellow,left,Just to try a different response
661d91cf9f3f83afa8e53a0d,backward,ramp,reversed,red,left,cubes at top of triangle seem to fall of highest point- would not go near finish line
5c43fb651ddd660001c9de3a,backward,cube,consistent,yellow,left,"I don't know what white cubes do so maybe they go backwards instead of forwards like the others. it is just a guess because I have no idea what white cubes do. there is a difference in blue and yellow ramps, though, so the cubes would end up in different positions and blue ramps cause them to not go as far so that one would be closer."
5c43fb651ddd660001c9de3a,backward,cube,consistent,black,right,not sure what white ramps do but black cubes always go farther than red cubes so the black one would go farther.
5c43fb651ddd660001c9de3a,backward,cube,reversed,blue,left,not sure how white cubes work so it's a guess
5c43fb651ddd660001c9de3a,backward,cube,reversed,black,right,not sure what white ramps do but black cubes go farther than red cubes
